2026-09-18 08:02:10 +0000: Memory Usage (422916K) : backmetal1_slit has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (422916K) : backmetal1_text has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423044K) : backmetal1_opc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423044K) : backmetal1_noqrc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423172K) : backmetal1_res has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423172K) : backmetal1_iprobe has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423300K) : backmetal1_diffprb has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423300K) : backpassiv_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423428K) : res_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423428K) : sram_drw has 2448 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423428K) : trans_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423556K) : ind_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423556K) : ind_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423684K) : ind_text has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (423684K) : salblock_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (424068K) : via2_drw has 23344 polygons
2026-09-18 08:02:10 +0000: Memory Usage (424324K) : metal3_drw has 18671 polygons
2026-09-18 08:02:10 +0000: Memory Usage (424452K) : metal3_pin has 11544 polygons
2026-09-18 08:02:10 +0000: Memory Usage (424580K) : metal3_mask has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (424580K) : metal3_filler has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (424708K) : metal3_nofill has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (424708K) : metal3_slit has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (424836K) : metal3_text has 6696 polygons
2026-09-18 08:02:10 +0000: Memory Usage (424836K) : metal3_opc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (424964K) : metal3_noqrc has 0 polygons
