2026-09-18 09:42:39 +0000: Memory Usage (422564K) : nldb_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (422692K) : digibnd_drw has 3230 polygons
2026-09-18 09:42:39 +0000: Memory Usage (422948K) : via1_drw has 36514 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423204K) : backmetal1_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423204K) : backmetal1_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423204K) : backmetal1_mask has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423204K) : backmetal1_filler has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423204K) : backmetal1_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423332K) : backmetal1_slit has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423332K) : backmetal1_text has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423460K) : backmetal1_opc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423460K) : backmetal1_noqrc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423588K) : backmetal1_res has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423588K) : backmetal1_iprobe has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423716K) : backmetal1_diffprb has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423716K) : backpassiv_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423844K) : res_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423844K) : sram_drw has 2448 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423972K) : trans_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (423972K) : ind_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (424100K) : ind_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (424100K) : ind_text has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (424100K) : salblock_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (424356K) : via2_drw has 23344 polygons
2026-09-18 09:42:39 +0000: Memory Usage (424740K) : metal3_drw has 18671 polygons
2026-09-18 09:42:39 +0000: Memory Usage (424868K) : metal3_pin has 11544 polygons
2026-09-18 09:42:39 +0000: Memory Usage (424996K) : metal3_mask has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425124K) : metal3_filler has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425124K) : metal3_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425252K) : metal3_slit has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425252K) : metal3_text has 6696 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425380K) : metal3_opc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425380K) : metal3_noqrc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425508K) : metal3_res has 2096 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425508K) : metal3_iprobe has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425636K) : metal3_diffprb has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425636K) : nwell_drw has 8931 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425764K) : nwell_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425764K) : nbulay_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425892K) : nbulay_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (425892K) : nbulay_block has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426020K) : emwind_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426020K) : emwind_opc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426148K) : deepco_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426148K) : deepco_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426276K) : mim_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426276K) : edgeseal_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426404K) : edgeseal_bound has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426404K) : substrate_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426532K) : substrate_text has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426532K) : dfpad_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426660K) : dfpad_pillar has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426660K) : dfpad_sbump has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426788K) : thickgateox_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426788K) : pldb_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426916K) : pwell_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (426916K) : pwell_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427044K) : pwell_block has 0 polygons
